Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Aerodramus hirundinaceus,Mountain Swiftlet,Aerodramus hirundinaceus,Oceania,13.35,13.16793164,13.53206836,14.56,14.48484532,14.63515468,15.192,15.07446156,15.30953844,0
Aerodramus pelewensis,Palau Swiftlet,Aerodramus pelewensis,Oceania,30.66666667,25.83113548,35.50219785,48.71666667,47.89665497,49.53667837,49.28095238,48.73123955,49.83066521,8
Aerodramus spodiopygius,White-rumped Swiftlet,Aerodramus spodiopygius,Oceania,46.88367347,44.96980924,48.7975377,50,50,50,50,50,50,1
Aerodramus terraereginae,Australian Swiftlet,Aerodramus terraereginae,Oceania,39.28571429,35.112226,43.45920257,50,50,50,50,50,50,8
Aerodramus unicolor,Indian Swiftlet,Aerodramus unicolor,Asia,2.083333333,1.35602574,2.810640927,19.61458333,19.18377578,20.04539089,40.59791667,40.06684933,41.128984,2
Aerodramus vanikorensis,Uniform Swiftlet,Aerodramus vanikorensis,Oceania,5.706976744,3.378835071,8.035118417,40.43953488,38.84347828,42.03559149,47.59069767,46.60777016,48.57362519,7
Aeronautes andecolus,Andean Swift,Aeronautes andecolus,Latin_America,13.308,13.04167079,13.57432921,30.13,29.86688662,30.39311338,42.398,42.15080772,42.64519228,0
Aeronautes montivagus,White-tipped Swift,Aeronautes montivagus,Latin_America,19.616,18.63761281,20.59438719,37.074,36.44915797,37.69884203,48.362,47.90860574,48.81539426,0
Aeronautes saxatalis,White-throated Swift,Aeronautes saxatalis,Latin_America,0,0,0,25.818,25.46751782,26.16848218,46.502,46.07966517,46.92433483,0
Aethopyga gouldiae,Mrs. Gould's Sunbird,Aethopyga gouldiae,Asia,5.704255319,4.803240322,6.605270316,18.64042553,18.30173998,18.97911108,31.51276596,31.15464483,31.87088709,3
Aethopyga ignicauda,Fire-tailed Sunbird,Aethopyga ignicauda,Asia,1.378,0.857097649,1.898902351,11.816,11.42494969,12.20705031,20.652,20.26153351,21.04246649,0
Aethopyga nipalensis,Green-tailed Sunbird,Aethopyga nipalensis,Asia,4.197777778,2.659176711,5.736378845,23.42,21.53521442,25.30478558,35.28,34.09767222,36.46232778,5
Aethopyga saturata,Black-throated Sunbird,Aethopyga saturata,Asia,8.670212766,7.3057143,10.03471123,31.87234043,31.13865442,32.60602643,43.01702128,42.07672922,43.95731333,3
Aethopyga siparaja,Crimson Sunbird,Aethopyga siparaja,Asia,37.758,37.07724212,38.43875788,49.38,49.10284323,49.65715677,49.99,49.97700931,50,0
Aethopyga vigorsii,Vigors's Sunbird,Aethopyga vigorsii,Asia,0.246,0,0.565570921,23.588,23.1138315,24.0621685,39.552,39.12629035,39.97770965,0
Agamia agami,Agami Heron,Agamia agami,Latin_America,0.126,0.008112219,0.243887781,7.956,7.825978642,8.086021358,20.558,20.31961396,20.79638604,0
Agapornis canus,Gray-headed Lovebird,Agapornis canus,Africa,15.964,15.51564921,16.41235079,25.598,25.26851116,25.92748884,32.316,31.87374994,32.75825006,0
